article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
1436;Abraham;Male;-1800;Other;;Unknown;;33.7;43.5;Religious Figure;Religion;Institutions;105;17824676;169759;306.047
308;Aristotle;Male;-384;Stageira;;Greece;Europe;4.033.333;23.5;Philosopher;Philosophy;Humanities;152;56355172;370758;319.938
22954;Plato;Male;-427;Athens;;Greece;Europe;3.796.667;2.371.667;Philosopher;Philosophy;Humanities;142;46812003;329662;319.888
1095706;Jesus Christ;Male;-4;Judea;;Israel;Asia;32.5;34.9;Religious Figure;Religion;Institutions;214;60299092;281771;318.981
25664190;Socrates;Male;-469;Athens;;Greece;Europe;3.796.667;2.371.667;Philosopher;Philosophy;Humanities;137;40307143;294213;316.521
783;Alexander the Great;Male;-356;Pella;;Greece;Europe;40.8;2.251.667;Military Personnel;Military;Institutions;138;48358148;350421;31.584
18079;Leonardo da Vinci;Male;1452;Vinci;;Italy;Europe;4.378.333;1.091.667;Inventor;Invention;Science & Technology;174;88931135;511098;314.644
5823;Confucius;Male;-551;Qufu;;China;Asia;;;Philosopher;Philosophy;Humanities;192;22363652;116477;313.705
15924;Julius Caesar;Male;-100;Rome;;Italy;Europe;41.9;12.5;Politician;Government;Institutions;128;43088745;336631;311.161
13633;Homer;Male;-800;Smyrna;;Turkey;Europe;3.841.861;2.713.917;Writer;Language;Humanities;141;20839405;147797;311.087
23275;Pythagoras;Male;-570;Samos Island;;Greece;Europe;37.75;2.683.333;Philosopher;Philosophy;Humanities;114;26168219;229546;310.691
1844;Archimedes;Male;-287;Syracuse;;Italy;Europe;3.708.333;1.528.333;Mathematician;Math;Science & Technology;129;22022077;170714;309.907
19577;Moses;Male;-1391;Wadi Tumilat;;Egypt;Africa;;;Religious Figure;Religion;Institutions;115;21880195;190263;308.632
18934;Muhammad;Male;570;Mecca;;Saudi Arabia;Asia;2.141.667;3.981.667;Religious Figure;Religion;Institutions;150;43026648;286844;30.65
1436;Abraham;Male;-1800;Other;;Unknown;;33.7;43.5;Religious Figure;Religion;Institutions;105;17824676;169759;306.047
2731583;Adolf Hitler;Male;1889;Braunau am Inn;;Austria;Europe;4.825.833;13.035;Politician;Government;Institutions;169;17824676;759579;305.778
33163;Wolfgang Amadeus Mozart;Male;1756;Salzburg;;Austria;Europe;47.8;1.303.333;Composer;Music;Arts;177;51363334;290188;305.146
5314;Charlemagne;Male;742;Liège;;Belgium;Europe;;;Politician;Government;Institutions;116;26626252;229537;304.837
32897;William Shakespeare;Male;1564;Stratford-upon-Avon;;United Kingdom;Europe;52.19;-1.71;Writer;Language;Humanities;163;74882297;459401;304.398
21019;Michelangelo;Male;1475;Caprese Michelangelo;;Italy;Europe;4.363.333;1.198.333;Painter;Fine Arts;Arts;158;39992803;253119;304.383
1273;Augustus;Male;-63;Rome;;Italy;Europe;41.9;12.5;Politician;Government;Institutions;117;20307663;173570;304.195
69880;Napoleon Bonaparte;Male;1769;Corsica;;France;Europe;419.267;87.369;Politician;Government;Institutions;145;57559307;396961;303.263
14627;Isaac Newton;Male;1642;Woolsthorpe-by-Colsterworth;;United Kingdom;Europe;5.280.986;-0.62877;Physicist;Natural Sciences;Science & Technology;191;59909049;313660;302.889
736;Albert Einstein;Male;1879;Ulm;;Germany;Europe;48.4;998.333;Physicist;Natural Sciences;Science & Technology;166;89771090;540790;302.106
5635;Christopher Columbus;Male;1451;Genoa;;Italy;Europe;4.441.111;893.278;Explorer;Explorers;Exploration;153;58442090;381974;301.753
9906294;Johann Sebastian Bach;Male;1685;Eisenach;;Germany;Europe;5.097.611;1.032.056;Composer;Music;Arts;144;29753654;206623;301.672
8169;Dante Alighieri;Male;1265;Florence;;Italy;Europe;4.378.333;11.25;Writer;Language;Humanities;137;20540747;149932;301.496
17914;Ludwig van Beethoven;Male;1770;Bonn;;Germany;Europe;5.073.399;709.981;Composer;Music;Arts;153;48132344;314590;301.093
3395;Gautama Buddha;Male;-563;Lumbini;;Nepal;Asia;2.753.333;83.05;Philosopher;Philosophy;Humanities;124;23685332;191011;300.418
60827;Cleopatra VII of Egypt;Female;-69;Alexandria;;Egypt;Africa;31.2;2.991.667;Politician;Government;Institutions;100;18849501;188495;300.367
7567080;Martin Luther;Male;1483;Eisleben;;Germany;Europe;5.151.667;11.55;Religious Figure;Religion;Institutions;125;35167994;281344;300.311
29688374;Galileo Galilei;Male;1564;Pisa;;Italy;Europe;4.371.667;10.4;Astronomer;Natural Sciences;Science & Technology;146;48254299;330509;29.96
13574;Herodotus;Male;-484;Halicarnassus;;Turkey;Asia;3.703.778;2.742.417;Historian;History;Humanities;103;9703065;94205;299.592
24140;Paul of Tarsus;Male;5;Tarsus;;Turkey;Asia;3.691.667;3.489.556;Religious Figure;Religion;Institutions;100;15781652;157817;298.889
2030;Augustine of Hippo;Male;354;Souk Ahras;;Algeria;Africa;;;Philosopher;Philosophy;Humanities;105;17433781;166036;298.872
9331;Euclid;Male;-325;Other;;Unknown;;;;Mathematician;Math;Science & Technology;117;10896731;93134;298.846
32359;Virgil;Male;-70;Mantua;;Italy;Europe;4.511.667;1.078.333;Writer;Language;Humanities;114;9154149;80300;298.811
21632;Nero;Male;37;Anzio;;Italy;Europe;4.144.795;1.262.905;Politician;Government;Institutions;79;18309769;231769;298.599
30072;Thales;Male;-635;Miletus;;Turkey;Asia;3.753.028;2.727.833;Philosopher;Philosophy;Humanities;84;14460625;172150;298.485
16743;Karl Marx;Male;1818;Trier;;Germany;Europe;49.75;663.333;Economist;Social Sciences;Science & Technology;148;46599942;314864;298.429
19334;Marco Polo;Male;1254;Republic of Venice;;Italy;Europe;4.543.333;1.231.667;Explorer;Explorers;Exploration;127;17773989;139953;297.719
6046;Cicero;Male;-106;Arpino;;Italy;Europe;;;Politician;Government;Institutions;83;13649824;164456;297.426
26984;Sophocles;Male;-496;Athens;;Greece;Europe;3.799.583;2.371.528;Writer;Language;Humanities;100;8948030;89480;297.421
32603;Vincent van Gogh;Male;1853;Zundert;;Netherlands;Europe;5.146.667;466.667;Painter;Fine Arts;Arts;155;45449125;293220;297.384
17414699;Genghis Khan;Male;1162;Delüün Boldog;;Mongolia;Asia;;;Military Personnel;Military;Institutions;121;27565467;227814;297.353
44406;Zoroaster;Male;-600;Airyanem Vaejah;;Afghanistan;Asia;;;Writer;Language;Humanities;86;7010219;81514;297.245
13959;Hannibal Barca;Male;-248;Carthage;;Tunisia;Africa;3.685.806;1.033.083;Politician;Government;Institutions;86;18246118;212164;296.911
14631;Immanuel Kant;Male;1724;Kaliningrad;;Russia;Europe;5.471.667;2.051.667;Philosopher;Philosophy;Humanities;125;28745025;229960;296.882
13486;Hippocrates;Male;-460;Kos;;Greece;Europe;36.85;2.723.333;Physician;Medicine;Science & Technology;93;10097815;108579;296.361
26743;Sigmund Freud;Male;1856;Příbor;;Czech Republic;Europe;4.963.861;1.814.389;Psychologist;Social Sciences;Science & Technology;134;43475930;324447;296.293
24176;Pablo Picasso;Male;1881;Málaga;;Spain;Europe;3.671.944;-4.42;Painter;Fine Arts;Arts;143;56598798;395796;295.957
90050;Nefertiti;Female;-1370;Thebes;;Egypt;Africa;2.572.056;3.261.028;Companion;Companions;Public Figure;74;9660479;130547;295.711
28329;Solomon;Male;-1000;Jerusalem;;Israel;Asia;3.178.333;3.521.667;Religious Figure;Religion;Institutions;79;13359813;169112;295.649
16509;Jeanne d'Arc;Female;1412;Domrémy-la-Pucelle;;France;Europe;484.431;56.758;Military Personnel;Military;Institutions;104;27928806;268546;295.566
99598;Qin Shi Huang;Male;-259;Handan;;China;Asia;36.6;11.448.333;Politician;Government;Institutions;144;9197875;63874;295.192
20012109;Aesop;Male;-620;Other;;Unknown;;3.902.056;3.128.917;Writer;Language;Humanities;69;7898719;114474;294.989
10073;Epicurus;Male;-341;Samos Island;;Greece;Europe;37.75;2.683.333;Philosopher;Philosophy;Humanities;68;8895085;130810;294.762
6852;Caligula;Male;12;Anzio;;Italy;Europe;4.144.795;1.262.905;Politician;Government;Institutions;76;17137539;225494;294.536
25525;René Descartes;Male;1596;Descartes;Indre-et-Loire;France;Europe;469.744;0.6986;Philosopher;Philosophy;Humanities;120;26370301;219753;294.481
21490957;Thomas Aquinas;Male;1225;Roccasecca;;Italy;Europe;41.55;1.366.667;Philosopher;Philosophy;Humanities;103;17427900;169203;294.352
30437;Tutankhamun;Male;-1341;Ancient Egypt;;Egypt;Africa;;;Politician;Government;Institutions;75;17640463;235206;293.953
73513;Mary;Female;-18;Nazareth;;Israel;Asia;3.270.194;3.530.333;Religious Figure;Religion;Institutions;100;4043545;40435;293.919
19242322;Johann Wolfgang von Goethe;Male;1749;Frankfurt;;Germany;Europe;;;Writer;Language;Humanities;132;20958901;158780;293.385
20155;Marcus Aurelius;Male;121;Rome;;Italy;Europe;41.9;12.5;Politician;Government;Institutions;73;11839877;162190;293.305
32375;Voltaire;Male;1694;Paris;;France;Europe;488.567;23.508;Writer;Language;Humanities;112;27632624;246720;292.732
37802;Ovid;Male;-43;Sulmona;;Italy;Europe;4.203.333;1.393.333;Writer;Language;Humanities;88;7030681;79894;292.723
21444;Niccolò Machiavelli;Male;1469;Florence;;Italy;Europe;4.378.333;11.25;Philosopher;Philosophy;Humanities;106;22390820;211234;292.668
4068;Blaise Pascal;Male;1623;Clermont-Ferrand;;France;Europe;457.831;30.824;Mathematician;Math;Science & Technology;103;17297105;167933;292.544
841;Attila the Hun;Male;406;Hajdúböszörmény;;Hungary;Europe;;;Politician;Government;Institutions;83;11123103;134013;292.433
8551;David;Male;-1040;Bethlehem;;Palestine;Asia;3.170.306;3.519.556;Politician;Government;Institutions;72;14023246;194767;292.419
44525;Raphael;Male;1483;Urbino;;Italy;Europe;4.371.667;1.263.333;Painter;Fine Arts;Arts;112;16525336;147548;292.108
8145410;Charles Darwin;Male;1809;Shrewsbury;;United Kingdom;Europe;5.271.278;-276.319;Biologist;Natural Sciences;Science & Technology;148;49582198;335015;291.979
13623554;Che Guevara;Male;1928;Rosario;;Argentina;South America;-32.95;-6.066.667;Social Activist;Activism;Public Figure;129;54896869;425557;291.644
15941;Jean-Jacques Rousseau;Male;1712;Geneva;;Switzerland;Europe;46.2;6.15;Philosopher;Philosophy;Humanities;106;26399173;249049;291.628
65119;Laozi;Male;-400;Henan;;China;Asia;33.9;113.5;Philosopher;Philosophy;Humanities;105;6743614;64225;291.483
19379;Mahatma Gandhi;Male;1869;Porbandar;;India;Asia;21.63;69.6;Social Activist;Activism;Public Figure;138;44366012;321493;291.406
26983;Saladin;Male;1138;Tikrit;;Iraq;Asia;34.6;4.368.333;Politician;Government;Institutions;104;14119978;135769;291.401
31665644;Saint Peter;Male;0;Bethsaida;;Syria;Asia;32.91;35.631;Religious Figure;Religion;Institutions;98;14650751;149497;291.364
27784;Sappho;Female;-625;Lesbos Island;;Greece;Europe;3.916.667;2.633.333;Writer;Language;Humanities;82;5492117;66977;291.232
2023;Aeschylus;Male;-525;Eleusina;;Greece;Europe;3.803.333;2.353.333;Writer;Language;Humanities;74;6231138;84205;290.996
23979;Ptolemy;Male;90;Egypt;;Egypt;Africa;31.2;2.991.667;Astronomer;Natural Sciences;Science & Technology;87;9459640;108731;290.892
16125;John the Baptist;Male;-5;Jerusalem;;Israel;Asia;;;Religious Figure;Religion;Institutions;78;10702126;137207;290.865
30570;Trajan;Male;53;Italica;;Spain;Europe;3.744.389;-604.667;Politician;Government;Institutions;72;6299821;87498;290.781
20787;Mary Magdalene;Female;1;Magdala;;Israel;Asia;32.825;355.075;Religious Figure;Religion;Institutions;65;13657412;210114;290.759
13792;Heraclitus;Male;-535;Ephesus;;Turkey;Asia;3.794.111;2.734.194;Philosopher;Philosophy;Humanities;72;7690246;106809;290.696
13151;Gilgamesh;Male;-3500;Other;;Iraq;Asia;;;Politician;Government;Institutions;54;9602219;177819;290.492
45080;Vasco da Gama;Male;1469;Sines;;Portugal;Europe;3.795.472;-886.444;Explorer;Explorers;Exploration;119;12831158;107825;290.264
1814;Adam Smith;Male;1723;Kirkcaldy;;United Kingdom;Europe;5.611.073;-316.737;Economist;Social Sciences;Science & Technology;111;20395667;183745;290.105
10128;Elizabeth I of England;Female;1533;London;;United Kingdom;Europe;5.148.222;-0.00667;Politician;Government;Institutions;106;39290364;370664;290.005
13693;Horace;Male;-65;Venusia;;Italy;Europe;4.096.177;1.581.479;Writer;Language;Humanities;76;5211790;68576;29
18553;Louis XIV of France;Male;1638;Paris;;France;Europe;4.889.806;209.639;Politician;Government;Institutions;89;25431554;285748;289.814
39356;Anne Boleyn;Female;1501;Norfolk or Kent;;United Kingdom;Europe;5.118.348;0.11055;Companion;Companions;Public Figure;62;25342861;408756;289.534
19914843;Ferdinand Magellan;Male;1480;Sabrosa;;Portugal;Europe;4.128.444;-7.595;Explorer;Explorers;Exploration;120;14936167;124468;289.393
15641;Joseph Stalin;Male;1878;Gori;;Georgia;Asia;4.196.667;44.1;Politician;Government;Institutions;134;42908561;320213;289.317
21476519;Ramesses II;Male;-1303;Other;;Egypt;Africa;;;Politician;Government;Institutions;59;10524828;178387;289.233
11015252;Vladimir Lenin;Male;1870;Ulyanovsk;;Russia;Europe;5.431.667;4.836.667;Politician;Government;Institutions;137;27160642;198253;289.211
94111;Leonidas I;Male;-540;Sparta;;Greece;Europe;3.708.194;2.242.361;Politician;Government;Institutions;57;11025629;193432;289.027
